corpus,doc_id,chunk_id,assigned_corpus,assignment_score
Project2025,project2025,c0000,Project2025,0.7006917145433685
Project2025,project2025,c0001,Project2025,0.7456682373812381
Project2025,project2025,c0002,Project2025,0.6964066306372702
Project2025,project2025,c0003,Project2025,0.693126217083745
Project2025,project2025,c0004,Project2025,0.6019975126711604
Project2025,project2025,c0005,Project2025,0.46163804994579144
Project2025,project2025,c0006,Project2025,0.7456552515889238
Project2025,project2025,c0007,Project2025,0.7883464305038191
Project2025,project2025,c0008,Project2025,0.7661258613359447
Project2025,project2025,c0009,Project2025,0.7357937220077343
Project2025,project2025,c0010,Project2025,0.7467131908869635
Project2025,project2025,c0011,Project2025,0.7410885308831572
Project2025,project2025,c0012,Project2025,0.7847562108377736
Project2025,project2025,c0013,Project2025,0.6949303583260251
Project2025,project2025,c0014,Project2025,0.7322563065132766
Project2025,project2025,c0015,Project2025,0.7481156052679409
Project2025,project2025,c0016,Project2025,0.7373824529928099
Project2025,project2025,c0017,Project2025,0.7530068717428935
Project2025,project2025,c0018,Project2025,0.7377051667485142
Project2025,project2025,c0019,Project2025,0.7608001977044306
Project2025,project2025,c0020,Project2025,0.7939912914495437
Project2025,project2025,c0021,Project2025,0.7845536951668143
Project2025,project2025,c0022,Project2025,0.7613013554849932
Project2025,project2025,c0023,Project2025,0.7789930831875582
Project2025,project2025,c0024,Project2025,0.746945595234155
Project2025,project2025,c0025,Project2025,0.7668114336239398
Project2025,project2025,c0026,Project2025,0.7979970959508687
Project2025,project2025,c0027,Project2025,0.740701915937179
Project2025,project2025,c0028,Project2025,0.38609317943066573
Project2025,project2025,c0029,Project2025,0.6643064867585732
Project2025,project2025,c0030,Project2025,0.7499061483034475
Project2025,project2025,c0031,Project2025,0.648328991212738
Project2025,project2025,c0032,Project2025,0.6752421078166899
Project2025,project2025,c0033,Project2025,0.7692103817429704
Project2025,project2025,c0034,Project2025,0.7594712947265116
Project2025,project2025,c0035,Project2025,0.5558294832462616
Project2025,project2025,c0036,Project2025,0.7495701411658371
Project2025,project2025,c0037,Project2025,0.807751733515678
Project2025,project2025,c0038,Project2025,0.7150525235301095
Project2025,project2025,c0039,Project2025,0.7035409127235623
Project2025,project2025,c0040,Project2025,0.7405431234792096
Project2025,project2025,c0041,Project2025,0.6908859287935568
Project2025,project2025,c0042,Project2025,0.6848005609650373
Project2025,project2025,c0043,Project2025,0.6935609970406117
Project2025,project2025,c0044,Project2025,0.6112589660419264
Project2025,project2025,c0045,Project2025,0.6705041227224913
Project2025,project2025,c0046,Project2025,0.6250392598250607
Project2025,project2025,c0047,Project2025,0.5937741808078064
Project2025,project2025,c0048,Project2025,0.5451978856107635
Project2025,project2025,c0049,Project2025,0.7061913841720907
Project2025,project2025,c0050,Project2025,0.7973744111062614
Project2025,project2025,c0051,Project2025,0.7146782155257261
Project2025,project2025,c0052,Project2025,0.7334300402632211
