corpus,doc_id,chunk_id,word_count,unique_word_count,avg_word_len,mattr,yules_k,hapax_rate,sentence_count,avg_sentence_len,sentence_len_sd,commas_per_sentence,semicolons_per_sentence,commas_per_1000w,semicolons_per_1000w,fw_the,fw_of,fw_and,fw_to,fw_a,fw_in,fw_that,fw_is,fw_for,fw_it,fw_on,fw_with,fw_as,fw_was,fw_are,fw_be,fw_at,fw_by,fw_this,fw_from,fw_or,fw_an,fw_which,fw_but,fw_not,fw_have,fw_has,fw_had,fw_they,fw_you,fw_we,fw_i,fw_he,fw_she,fw_his,fw_her,fw_their,fw_our,fw_its,fw_will,fw_would,fw_can,fw_could,fw_should,fw_may,fw_might,fw_do,fw_does,fw_did,fw_so,fw_if,fw_than,fw_then,fw_there,fw_here,punct_commas_per_1000w,punct_semicolons_per_1000w,punct_colons_per_1000w,punct_question_marks_per_1000w,punct_exclamation_marks_per_1000w,punct_hyphens_per_1000w,punct_em_dashes_per_1000w,punct_ellipses_per_1000w,punct_quotes_double_per_1000w,punct_quotes_single_per_1000w,punct_parentheses_per_1000w
Project2025,project2025,c0000,1200,617,5.534166666666667,0.5924621968616263,80.80555555555556,0.38666666666666666,1,1200.0,,0.0,0.0,0.0,0.0,0.0525,0.04583333333333333,0.0275,0.014166666666666666,0.013333333333333334,0.006666666666666667,0.0016666666666666668,0.005833333333333334,0.023333333333333334,0.0016666666666666668,0.0025,0.0,0.0,0.0008333333333333334,0.0025,0.005,0.0025,0.006666666666666667,0.0033333333333333335,0.0,0.0016666666666666668,0.0008333333333333334,0.0,0.0,0.0025,0.0025,0.0,0.0,0.0,0.0033333333333333335,0.004166666666666667,0.0,0.0008333333333333334,0.0008333333333333334,0.0008333333333333334,0.0,0.0025,0.0033333333333333335,0.0008333333333333334,0.0016666666666666668,0.0016666666666666668,0.0,0.0,0.0008333333333333334,0.0008333333333333334,0.0,0.0,0.0,0.0,0.0008333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Project2025,project2025,c0001,1200,529,5.0175,0.5145991440798859,109.33333333333333,0.305,1,1200.0,,0.0,0.0,0.0,0.0,0.06166666666666667,0.03833333333333333,0.04833333333333333,0.020833333333333332,0.013333333333333334,0.015833333333333335,0.0016666666666666668,0.014166666666666666,0.018333333333333333,0.0033333333333333335,0.01,0.0075,0.011666666666666667,0.0016666666666666668,0.0016666666666666668,0.0016666666666666668,0.013333333333333334,0.0016666666666666668,0.006666666666666667,0.008333333333333333,0.0008333333333333334,0.004166666666666667,0.0,0.0,0.0016666666666666668,0.0033333333333333335,0.005833333333333334,0.0,0.0,0.0025,0.006666666666666667,0.0008333333333333334,0.015833333333333335,0.0016666666666666668,0.0033333333333333335,0.0,0.0016666666666666668,0.006666666666666667,0.0008333333333333334,0.0025,0.0,0.0008333333333333334,0.0,0.0,0.0,0.0008333333333333334,0.0,0.0,0.0,0.0008333333333333334,0.0,0.0008333333333333334,0.0016666666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Project2025,project2025,c0002,1200,463,5.139166666666667,0.4822054208273895,138.47222222222223,0.25166666666666665,1,1200.0,,0.0,0.0,0.0,0.0,0.06916666666666667,0.05,0.051666666666666666,0.005,0.013333333333333334,0.023333333333333334,0.0008333333333333334,0.01,0.02,0.0,0.004166666666666667,0.004166666666666667,0.020833333333333332,0.006666666666666667,0.0,0.0,0.0175,0.0016666666666666668,0.0,0.010833333333333334,0.0,0.004166666666666667,0.0,0.0,0.0,0.0,0.0075,0.0008333333333333334,0.0,0.0,0.0,0.0,0.010833333333333334,0.005833333333333334,0.004166666666666667,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Project2025,project2025,c0003,1200,445,5.001666666666667,0.4795663338088445,135.41666666666666,0.2375,1,1200.0,,0.0,0.0,0.0,0.0,0.06333333333333334,0.04416666666666667,0.0575,0.015833333333333335,0.021666666666666667,0.015833333333333335,0.0,0.011666666666666667,0.0175,0.0008333333333333334,0.005833333333333334,0.0033333333333333335,0.0125,0.0125,0.0,0.0008333333333333334,0.019166666666666665,0.0025,0.0,0.016666666666666666,0.0,0.0075,0.0,0.0,0.0,0.0008333333333333334,0.0016666666666666668,0.0,0.0,0.0,0.0,0.0,0.016666666666666666,0.0016666666666666668,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016666666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8333333333333334,0.0
Project2025,project2025,c0004,1200,582,5.615833333333334,0.5661740370898716,91.51388888888889,0.36083333333333334,1,1200.0,,0.0,0.0,0.0,0.0,0.065,0.030833333333333334,0.025833333333333333,0.008333333333333333,0.008333333333333333,0.013333333333333334,0.0008333333333333334,0.006666666666666667,0.020833333333333332,0.0,0.004166666666666667,0.0025,0.01,0.0008333333333333334,0.0016666666666666668,0.0,0.0075,0.0008333333333333334,0.0008333333333333334,0.0075,0.0008333333333333334,0.0016666666666666668,0.0008333333333333334,0.0,0.0008333333333333334,0.0,0.0016666666666666668,0.0,0.0008333333333333334,0.0,0.0,0.0,0.0075,0.0,0.004166666666666667,0.0,0.0008333333333333334,0.0,0.0,0.0008333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Project2025,project2025,c0005,1200,664,6.04,0.626527817403709,64.93055555555556,0.43333333333333335,1,1200.0,,0.0,0.0,0.0,0.0,0.04416666666666667,0.011666666666666667,0.0225,0.009166666666666667,0.0075,0.005,0.0025,0.0016666666666666668,0.018333333333333333,0.0,0.0008333333333333334,0.0008333333333333334,0.0025,0.0,0.0025,0.0008333333333333334,0.0016666666666666668,0.0033333333333333335,0.0,0.0,0.0,0.0008333333333333334,0.0,0.0,0.0,0.0016666666666666668,0.0008333333333333334,0.0008333333333333334,0.0,0.0,0.0008333333333333334,0.0,0.0,0.0,0.0,0.0,0.0008333333333333334,0.0016666666666666668,0.0008333333333333334,0.0008333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0008333333333333334,0.0,0.0,0.0,0.0,0.0,0.0016666666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Project2025,project2025,c0006,1200,520,4.935833333333333,0.534453637660485,135.61111111111111,0.30083333333333334,1,1200.0,,0.0,0.0,0.0,0.0,0.08333333333333333,0.043333333333333335,0.043333333333333335,0.019166666666666665,0.01,0.02,0.010833333333333334,0.02,0.005833333333333334,0.0075,0.0033333333333333335,0.0025,0.008333333333333333,0.005,0.0075,0.004166666666666667,0.0016666666666666668,0.0075,0.010833333333333334,0.005833333333333334,0.0,0.0008333333333333334,0.0008333333333333334,0.006666666666666667,0.004166666666666667,0.0025,0.0016666666666666668,0.0008333333333333334,0.0025,0.0008333333333333334,0.01,0.0,0.0,0.0,0.004166666666666667,0.0,0.0025,0.015833333333333335,0.004166666666666667,0.005,0.0,0.0033333333333333335,0.0,0.0025,0.0,0.0,0.004166666666666667,0.0,0.0008333333333333334,0.0016666666666666668,0.0016666666666666668,0.004166666666666667,0.0,0.0008333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Project2025,project2025,c0007,1200,582,5.345,0.5701226818830243,94.06944444444444,0.34833333333333333,1,1200.0,,0.0,0.0,0.0,0.0,0.059166666666666666,0.030833333333333334,0.045,0.03,0.0125,0.02,0.009166666666666667,0.0125,0.01,0.0075,0.004166666666666667,0.005,0.008333333333333333,0.0008333333333333334,0.0075,0.0075,0.0,0.0016666666666666668,0.005833333333333334,0.004166666666666667,0.004166666666666667,0.0,0.0,0.006666666666666667,0.0033333333333333335,0.0016666666666666668,0.0025,0.0008333333333333334,0.0033333333333333335,0.0008333333333333334,0.0016666666666666668,0.0,0.0,0.0,0.0,0.0,0.01,0.005,0.0033333333333333335,0.0025,0.0,0.0,0.0,0.010833333333333334,0.0,0.0,0.0,0.0,0.0008333333333333334,0.0008333333333333334,0.0,0.0008333333333333334,0.0008333333333333334,0.0016666666666666668,0.0008333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Project2025,project2025,c0008,1200,511,5.370833333333334,0.532071326676177,133.91666666666666,0.305,1,1200.0,,0.0,0.0,0.0,0.0,0.0825,0.034166666666666665,0.03833333333333333,0.0425,0.011666666666666667,0.006666666666666667,0.0075,0.0125,0.004166666666666667,0.006666666666666667,0.0008333333333333334,0.005833333333333334,0.005833333333333334,0.0008333333333333334,0.0033333333333333335,0.005,0.009166666666666667,0.009166666666666667,0.0025,0.009166666666666667,0.004166666666666667,0.0008333333333333334,0.0016666666666666668,0.005,0.004166666666666667,0.0033333333333333335,0.0,0.0,0.006666666666666667,0.0,0.0016666666666666668,0.0008333333333333334,0.0,0.0,0.0025,0.0008333333333333334,0.0016666666666666668,0.008333333333333333,0.009166666666666667,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0016666666666666668,0.0,0.0,0.004166666666666667,0.0008333333333333334,0.0,0.0008333333333333334,0.0008333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Project2025,project2025,c0009,1200,583,5.11,0.5845962910128387,82.34722222222223,0.35583333333333333,1,1200.0,,0.0,0.0,0.0,0.0,0.051666666666666666,0.04,0.03,0.021666666666666667,0.014166666666666666,0.016666666666666666,0.008333333333333333,0.0125,0.008333333333333333,0.008333333333333333,0.005833333333333334,0.006666666666666667,0.0025,0.0008333333333333334,0.0075,0.0016666666666666668,0.0025,0.005,0.0033333333333333335,0.005,0.004166666666666667,0.0,0.005,0.004166666666666667,0.0033333333333333335,0.005833333333333334,0.005833333333333334,0.0,0.014166666666666666,0.0008333333333333334,0.0016666666666666668,0.0,0.0,0.0,0.0,0.0,0.0125,0.014166666666666666,0.0033333333333333335,0.0008333333333333334,0.005,0.0008333333333333334,0.0008333333333333334,0.0008333333333333334,0.0008333333333333334,0.0,0.0025,0.0,0.0,0.0016666666666666668,0.0008333333333333334,0.0033333333333333335,0.0008333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
